Member Type 04/2020,Avg Ride Length,,Member Type 12/2020,Avg Ride Length ,,,,
casual,0:29:33,,casual,0:15:35,,,,
member,0:15:14,,member,0:10:45,,,,
Grand Total,0:19:13,,Grand Total,0:11:51,,,,
,,,,,,,,
AVERAGE of ride_length,day_of_week 04/2020,,,,,,,
member_casual,1,2,3,4,5,6,7,Grand Total
casual,0:35:32,0:29:01,0:30:28,0:20:00,0:20:35,0:21:37,0:34:05,0:29:33
member,0:18:33,0:13:21,0:16:03,0:12:59,0:14:05,0:13:56,0:15:50,0:15:14
Grand Total,0:24:41,0:17:15,0:20:10,0:14:26,0:15:27,0:15:52,0:21:35,0:19:13
,,,,,,,,
AVERAGE of ride_length,day_of_week 12/2020,,,,,,,
member_casual,1,2,3,4,5,6,7,Grand Total
casual,0:19:22,0:13:00,0:17:53,0:15:09,0:15:59,0:13:22,0:13:04,0:15:35
member,0:11:48,0:10:56,0:12:51,0:10:09,0:09:58,0:09:54,0:09:11,0:10:45
Grand Total,0:14:06,0:11:21,0:13:48,0:11:11,0:11:17,0:10:39,0:10:17,0:11:51
,,,,,,,,
COUNTA of ride_id,day_of_week 04/2020,,,,,,,
member_casual,1,2,3,4,5,6,7,Grand Total
casual,6475,2681,3656,1799,2439,2510,4068,23628
member,11440,8064,9157,6919,9264,7462,8842,61148
Grand Total,17915,10745,12813,8718,11703,9972,12910,84776
,,,,,,,,
COUNTA of ride_id,day_of_week 12/2020,,,,,,,
member_casual,1,2,3,4,5,6,7,Grand Total
casual,5116,3542,4055,4615,4720,3460,4572,30080
member,11794,13901,17466,17671,16762,12405,11494,101493
Grand Total,16910,17443,21521,22286,21482,15865,16066,131573